43:20.2,4321.952273,4537.76622,4725.116564,30
43:20.7,4326.330085,4540.483656,4725.097789,30
43:21.2,4336.87376,4544.258776,4724.743558,30
43:21.7,4341.855517,4545.084896,4724.266662,30
43:22.2,4347.393653,4545.725766,4723.761602,30
43:22.7,4356.507889,4544.634285,4722.481741,30
43:23.2,4369.777135,4543.525281,4721.835865,30
43:23.7,4384.890132,4541.413041,4721.651239,30
43:24.2,4400.551999,4538.766953,4720.581664,30
43:24.7,4411.823536,4537.329378,4719.932659,30
43:25.2,4418.274159,4536.455693,4719.05647,30
43:25.7,4418.589587,4534.225168,4717.833562,30
43:26.3,4419.553394,4533.318939,4718.42937,30
43:26.8,4424.440648,4530.8387,4718.609614,30
43:27.3,4423.857357,4526.714982,4720.811976,30
43:27.8,4428.043659,4523.416759,4719.551517,30
43:28.3,4434.5988,4519.634129,4717.824174,30
43:28.8,4432.919021,4516.017349,4719.710482,30
43:29.3,4430.619027,4513.395668,4720.66365,30
43:29.8,4427.077975,4510.375947,4721.385254,30
43:30.3,4423.103209,4508.465231,4722.39287,30
43:30.8,4419.080878,4505.218953,4723.879887,30
43:31.3,4412.3505,4502.049029,4725.421353,30
43:31.8,4404.22886,4499.060601,4725.803746,30
43:32.3,4393.16135,4497.313231,4726.445867,30
43:32.8,4384.789996,4497.108579,4727.041675,30
43:33.3,4371.167771,4495.95201,4728.562488,30
43:33.8,4358.551285,4498.703867,4728.295876,30
43:34.3,4342.844984,4505.039335,4729.535057,30
43:34.8,4334.956159,4509.258807,4729.156418,30
43:35.3,4322.912325,4516.056151,4729.366704,30
43:35.8,4315.518547,4519.756169,4728.659494,30
43:36.3,4310.913552,4522.460462,4728.721453,30
43:36.9,4303.390223,4530.543925,4728.381618,30
43:37.4,4298.813391,4536.961379,4727.397783,30
43:37.9,4302.595395,4539.206924,4726.479037,30
43:38.4,4299.836028,4538.967224,4725.788726,30
