39:42.0,4300.330448,4536.173435,4722.827835,15
39:42.5,4300.192761,4536.128374,4722.658856,15
39:43.0,4300.128925,4536.042007,4722.758366,15
39:43.5,4299.918014,4535.975667,4722.779019,15
39:44.0,4299.972463,4535.943749,4722.834094,15
39:44.5,4299.944299,4535.831722,4722.795917,15
39:45.0,4299.967456,4535.755994,4722.810311,15
39:45.5,,,,15
39:46.0,4298.494834,4535.366716,4721.971048,15
39:46.5,4300.724733,4538.82766,4721.539213,15
39:47.0,4304.25452,4542.552086,4720.851405,15
39:47.6,4310.126234,4546.133193,4719.848169,15
39:48.1,4320.257474,4549.608532,4718.679084,15
39:48.6,4327.279498,4550.556693,4717.87299,15
39:49.1,4334.098121,4550.526026,4717.465563,15
39:49.6,4339.563658,4549.767497,4717.051251,15
39:50.1,4345.323971,4548.239174,4716.905428,15
39:50.6,4352.143845,4546.767804,4716.963006,15
39:51.1,4356.859616,4545.146855,4716.846598,15
39:51.6,4362.176827,4544.892761,4716.834707,15
39:52.1,4371.903769,4543.91894,4717.419876,15
39:52.6,4382.372968,4541.070076,4715.813948,15
39:53.1,4386.59557,4537.642302,4715.357078,15
39:53.6,4385.403954,4534.760894,4715.780152,15
39:54.1,4387.702697,4531.814398,4716.432286,15
39:54.6,4388.141417,4528.588148,4716.976149,15
39:55.1,4389.418148,4525.804372,4717.799766,15
39:55.6,4388.113879,4522.789658,4718.690975,15
39:56.1,4385.711872,4520.990343,4719.604088,15
39:56.6,4381.791555,4518.611492,4721.10237,15
39:57.2,4377.995156,4517.03623,4722.001089,15
39:57.7,4373.273127,4514.751256,4723.038746,15
39:58.2,4365.741662,4511.586965,4724.210961,15
39:58.7,4359.361134,4509.840221,4724.327995,15
39:59.2,4353.206536,4508.557857,4725.240482,15
39:59.7,4346.541872,4507.418812,4725.664808,15
40:00.2,4336.003204,4506.612093,4726.372017,15
40:00.7,4326.900233,4507.651002,4726.55101,15
40:01.2,4320.313175,4511.254013,4726.900859,15
40:01.7,4311.493087,4520.418317,4727.125539,15
